Y1,YY1,X401,X402,X403,X405
11,1,3,5,5,1
12,1,3,5,5,1
13,1,3,5,5,1
14,1,3,5,5,1
15,1,3,5,5,1
21,2,5,5,1,1
22,2,5,5,1,1
23,2,5,5,1,1
24,2,5,5,1,1
25,2,5,5,1,1
31,3,5,5,5,5
32,3,5,5,5,5
33,3,5,5,5,5
34,3,5,5,5,5
35,3,5,5,5,5
41,4,1,5,5,1
42,4,1,5,5,1
43,4,1,5,5,1
44,4,1,5,5,1
45,4,1,5,5,1
51,5,1,1,5,1
52,5,1,1,5,1
53,5,1,1,5,1
54,5,1,1,5,1
55,5,1,1,5,1
61,6,1,5,1,1
62,6,1,5,1,1
63,6,1,5,1,1
64,6,1,5,1,1
65,6,1,5,1,1
71,7,3,1,1,1
72,7,3,1,1,1
73,7,3,1,1,1
74,7,3,1,1,1
75,7,3,1,1,1
81,8,5,5,1,1
82,8,5,5,1,1
83,8,5,5,1,1
84,8,5,5,1,1
85,8,5,5,1,1
91,9,3,5,1,1
92,9,3,5,1,1
93,9,3,5,1,1
94,9,3,5,1,1
95,9,3,5,1,1
101,10,3,5,5,1
102,10,3,5,5,1
103,10,3,5,5,1
104,10,3,5,5,1
105,10,3,5,5,1
111,11,3,5,5,1
112,11,3,5,5,1
113,11,3,5,5,1
114,11,3,5,5,1
115,11,3,5,5,1
121,12,3,1,1,1
122,12,3,1,1,1
123,12,3,1,1,1
124,12,3,1,1,1
125,12,3,1,1,1
131,13,3,1,1,1
132,13,3,1,1,1
133,13,3,1,1,1
134,13,3,1,1,1
135,13,3,1,1,1
141,14,3,5,5,1
142,14,3,5,5,1
143,14,3,5,5,1
144,14,3,5,5,1
145,14,3,5,5,1
151,15,5,5,5,1
152,15,5,5,5,1
153,15,5,5,5,1
154,15,5,5,5,1
155,15,5,5,5,1
161,16,5,5,1,1
162,16,5,5,1,1
163,16,5,5,1,1
164,16,5,5,1,1
165,16,5,5,1,1
171,17,5,5,5,5
172,17,5,5,5,5
173,17,5,5,5,5
174,17,5,5,5,5
175,17,5,5,5,5
181,18,5,5,5,5
182,18,5,5,5,5
183,18,5,5,5,5
184,18,5,5,5,5
185,18,5,5,5,5
191,19,5,5,5,1
192,19,5,5,5,1
193,19,5,5,5,1
194,19,5,5,5,1
195,19,5,5,5,1
201,20,5,5,1,1
202,20,5,5,1,1
203,20,5,5,1,1
204,20,5,5,1,1
205,20,5,5,1,1
211,21,1,5,1,1
212,21,1,5,1,1
213,21,1,5,1,1
214,21,1,5,1,1
215,21,1,5,1,1
221,22,3,5,1,1
222,22,3,5,1,1
223,22,3,5,1,1
224,22,3,5,1,1
225,22,3,5,1,1
231,23,1,5,1,1
232,23,1,5,1,1
233,23,1,5,1,1
234,23,1,5,1,1
235,23,1,5,1,1
241,24,1,5,1,1
242,24,1,5,1,1
243,24,1,5,1,1
244,24,1,5,1,1
245,24,1,5,1,1
251,25,3,5,1,1
252,25,3,5,1,1
253,25,3,5,1,1
254,25,3,5,1,1
255,25,3,5,1,1
261,26,3,1,1,1
262,26,3,1,1,1
263,26,3,1,1,1
264,26,3,1,1,1
265,26,3,1,1,1
271,27,3,5,5,5
