X401,X402,X403,X405,YY1,Y1
1,5,5,1,1,11
1,5,5,1,1,12
1,5,5,1,1,13
1,5,5,1,1,14
1,5,5,1,1,15
1,1,1,1,2,21
1,1,1,1,2,22
1,1,1,1,2,23
1,1,1,1,2,24
1,1,1,1,2,25
3,5,1,1,3,31
3,5,1,1,3,32
3,5,1,1,3,33
3,5,1,1,3,34
3,5,1,1,3,35
3,5,1,1,4,41
3,5,1,1,4,42
3,5,1,1,4,43
3,5,1,1,4,44
3,5,1,1,4,45
3,5,5,1,5,51
3,5,5,1,5,52
3,5,5,1,5,53
3,5,5,1,5,54
3,5,5,1,5,55
5,5,1,1,6,61
5,5,1,1,6,62
5,5,1,1,6,63
5,5,1,1,6,64
5,5,1,1,6,65
3,5,5,1,7,71
3,5,5,1,7,72
3,5,5,1,7,73
3,5,5,1,7,74
3,5,5,1,7,75
1,5,1,1,8,81
1,5,1,1,8,82
1,5,1,1,8,83
1,5,1,1,8,84
1,5,1,1,8,85
5,5,5,1,9,91
5,5,5,1,9,92
5,5,5,1,9,93
5,5,5,1,9,94
5,5,5,1,9,95
3,5,1,1,10,101
3,5,1,1,10,102
3,5,1,1,10,103
3,5,1,1,10,104
3,5,1,1,10,105
1,1,5,1,11,111
1,1,5,1,11,112
1,1,5,1,11,113
1,1,5,1,11,114
1,1,5,1,11,115
1,5,5,5,12,121
1,5,5,5,12,122
1,5,5,5,12,123
1,5,5,5,12,124
1,5,5,5,12,125
5,5,5,5,13,131
5,5,5,5,13,132
5,5,5,5,13,133
5,5,5,5,13,134
5,5,5,5,13,135
3,5,5,1,14,141
3,5,5,1,14,142
3,5,5,1,14,143
3,5,5,1,14,144
3,5,5,1,14,145
1,5,5,1,15,151
1,5,5,1,15,152
1,5,5,1,15,153
1,5,5,1,15,154
1,5,5,1,15,155
3,5,5,1,16,161
3,5,5,1,16,162
3,5,5,1,16,163
3,5,5,1,16,164
3,5,5,1,16,165
1,5,1,1,17,171
1,5,1,1,17,172
1,5,1,1,17,173
1,5,1,1,17,174
1,5,1,1,17,175
5,5,5,1,18,181
5,5,5,5,18,182
5,5,5,5,18,183
5,5,5,5,18,184
5,5,5,5,18,185
5,5,5,5,19,191
5,5,5,5,19,192
5,5,5,5,19,193
5,5,5,5,19,194
5,5,5,5,19,195
3,5,5,1,20,201
